location,pageid,page desc,parent,url,sortimage,header image,imageTitle,iscustom,isactive,section1,section2,Seoheader,title
,1,Parties & Events,,,,,,y,,,,,252
,2,Attractions,,,,,,y,,,,,
,3,Programs,,,,,,y,,,,,
,4,Pricing +Promos,,,,,,y,,,,,
,5,Groups & Events,,,,,,y,,,,,
,6,About Us,,,,,,y,,,,,
,7,Blogs,,,,,,y,,,,,
,,Open Jumps,2,,,,,n,,,duu,uhuhu,
,,Aero Slam,2,,,,,n,,,,,
,,Dodgeball,2,,,,,n,,,,,
,,Ninja Warrior,2,,,,,n,,,,,
,,Aero Ladder,2,,,,,n,,,,,
,,Aero Hoopes,2,,,,,,,,,,
,,Joust,2,,,,,,,,,,
,,Kids Zone,2,,,,,,,,,,
,,Aero Bags,2,,,,,,,,,,
oakville,,Climb & Slide,2,,,,,,,,,,
oakville,,Climbing Walls,2,,,,,,,,,,
,,Safety Information,6,,,,,,,,,,
,,Careers,6,,,,,,,,,,
,,FAQ,6,,,,,y,,,,,
,,contact-us,6,,,,,,,,,,
,,Birthday Parties,1,,,,,,,,,,
,,Camp Programs,,,,,,,,,,,
,,Lock In,3,,,,,,,,,,
,,AeroFIt,3,,,,,,,,,,
,,Glow,3,,,,,,,,,,
,,Toddler Time,3,,,,,,,,,,
,,Corporate Parites,5,,,,,,,,,,
,,School /Groups ,5,,,,,,,,,,
,,Fund Raising,5,,,,,,,,,,
,,Facility Rental,5,,,,,,,,,,
,,Aero Camp,5,,,,,,,,,,
